DEBUG [nes] Loaded rom:"nestest.nes"
INFO [nes::cpu] C899  50 03     BVC A:FF X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C89B  4C A2     JMP A:FF X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C8A2  EA 38     NOP A:FF X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C8A3  38 B8     SEC A:FF X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C8A4  B8 A9     CLV A:FF X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C8A5  A9 00     LDA A:FF X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8A7  09 00     ORA A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8A9  D0 09     BNE A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8AB  70 07     BVS A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8AD  90 05     BCC A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8AF  30 03     BMI A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8B1  4C B8     JMP A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8B8  EA 18     NOP A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8B9  18 24     CLC A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8BA  24 01     BIT A:00 X:00 Y:00 P:3E SP:FB
INFO [nes::cpu] C8BC  A9 55     LDA A:00 X:00 Y:00 P:FE SP:FB
INFO [nes::cpu] C8BE  29 AA     AND A:55 X:00 Y:00 P:7C SP:FB
INFO [nes::cpu] C8C0  D0 09     BNE A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C8C2  50 07     BVC A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C8C4  B0 05     BCS A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C8C6  30 03     BMI A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C8C8  4C CF     JMP A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C8CF  EA 38     NOP A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C8D0  38 B8     SEC A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C8D1  B8 A9     CLV A:00 X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C8D2  A9 F8     LDA A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8D4  29 EF     AND A:F8 X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C8D6  90 0B     BCC A:E8 X:00 Y:00 P:BD SP:FB
